決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2019,46,17,5,322016,松江市,0,,21,1,4,3,2,2,4,2,7,1,8306,4123,0,0,2693,15122,191186,191186,0,0,683883,67352,417,3685,23865,0,1940,0,158231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17973.0,1163654.0,36.0,3.0,12719.0,12152.0,567.0,0.0,6521.0,1250.0,0.0,4974.0,297.0,19240.0,151.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,1163654.0,0.0,153372.0,153372.0,0.0,0.0,191186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,322032,出雲市,0,,21,1,4,3,1,2,1,2,7,1,16249,7244,0,0,4883,28376,297785,297785,0,0,1093095,103048,1509,2729,61651,0,2370,0,186945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11092.0,63924.0,1852524.0,48.0,4.0,16249.0,15500.0,749.0,0.0,6931.0,506.0,3.0,6212.0,210.0,23180.0,173.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,1852524.0,0.0,215663.0,215663.0,0.0,0.0,297785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,323861,飯南町,0,,21,1,8,4,1,7,1,2,6,1,0,0,0,0,0,0,1679,1679,0,0,7397,1396,0,30,1456,0,0,0,2993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,15138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15138.0,0.0,2722.0,8794.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,331007,岡山市,0,,21,1,1,2,1,1,1,2,7,1,12241,6200,0,0,3861,22302,104263,104263,0,0,355539,40213,0,5927,20012,0,1308,0,145942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13190.0,708696.0,48.0,4.0,16344.0,15410.0,436.0,498.0,8480.0,891.0,1.0,6181.0,1407.0,24824.0,142.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,708696.0,0.0,69509.0,104263.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,332020,倉敷市,0,,21,1,3,3,2,6,1,2,7,2,0,0,0,0,0,0,9279,9279,0,0,71814,5266,202,1012,3473,0,0,0,16346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4539.0,111931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111931.0,0.0,9279.0,9279.0,0.0,0.0,9279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,332038,津山市,0,,21,1,4,3,2,5,1,2,5,1,5283,2688,0,0,1645,9616,16415,16415,0,0,177952,5458,3558,1555,2697,0,0,0,24640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6407.0,248298.0,12.0,1.0,5283.0,4845.0,438.0,0.0,2636.0,0.0,12.0,2092.0,532.0,7919.0,53.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,248298.0,0.0,16415.0,16415.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,332119,備前市,0,,21,1,6,3,2,6,1,2,6,1,0,0,0,0,0,0,5194,5194,0,0,19353,2299,193,124,512,0,120,0,5691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,34687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34687.0,0.0,62.0,62.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,332127,瀬戸内市,0,,21,1,6,3,2,3,1,2,5,1,7755,3890,0,0,2428,14073,45342,45342,0,0,171136,11824,107,344,4444,0,648,0,31612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28685.0,308215.0,24.0,2.0,7755.0,7628.0,127.0,0.0,3903.0,598.0,0.0,3135.0,170.0,11658.0,88.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,308215.0,0.0,45342.0,45342.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,332143,真庭市,0,,21,1,6,3,1,3,1,2,5,1,6651,3431,0,0,2060,12142,38210,38210,0,0,253835,20453,533,1682,8558,0,0,0,54332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6591.0,396336.0,24.0,2.0,6651.0,6573.0,78.0,0.0,3443.0,41.0,0.0,2934.0,468.0,10094.0,73.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,396336.0,0.0,24937.0,38925.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,332151,美作市,0,,21,1,7,3,2,3,1,2,6,1,15919,9123,0,0,5062,30104,51239,51239,0,0,236173,16578,246,1776,4291,0,657,1030,51446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6749.0,400289.0,48.0,4.0,15919.0,14707.0,1212.0,0.0,9170.0,1384.0,38.0,3904.0,3844.0,25089.0,161.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,3080.0,0.0,0.0,403369.0,0.0,47907.0,51229.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
