決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2020,47,8,0,170003,石川県,5,福浦港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,0,416,52,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,52,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,6,穴水港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19096,0,6691,1146,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6691,1146,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,7,宇出津港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28350,0,16556,9528,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16556,9528,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,8,輪島港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,0,6650,6040,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6650,6040,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,9,小木港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7783,0,2727,1385,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727,1385,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,10,飯田港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35936,0,12592,5649,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12592,5649,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,180009,福井県,1,福井港,12,1,0,1,1,0,0,0,0,0,3280510,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2410,184,26536,21186,21186,0,0,0,0,0,0,0,0,0,0,0,0,371223,371223,101185,48249,48249,0,0,0,0,0,0,0,0,0,0,0,0,0,11844,11826,11826,139565,81261,81261,0,0,0,2,0,0,0,0,0,0,,県営北１号上屋、県営北２号上屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,180009,福井県,2,敦賀港,12,1,0,1,1,0,0,0,0,0,3280325,0,0,0,0,30,3,627988,284950,85578,85578,0,0,0,0,0,0,6,10666,72493,71362,70974,70974,0,0,0,0,0,0,3,86821,0,0,0,0,279692,73000,212239,151733,151733,0,0,0,0,0,0,0,0,0,0,0,0,0,34482,32787,32787,603033,341072,341072,0,0,0,2,0,0,0,0,0,0,,F上屋、H上屋、I上屋、J上屋、１号上屋、鞠山南CFS,,リーファプラグ、鞠山南管理棟,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,180009,福井県,3,内浦港,12,1,0,1,1,0,0,0,0,0,3440820,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29531,29531,25816,12973,10691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25816,12973,10691,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,180009,福井県,4,和田港,12,1,0,1,1,0,0,0,0,0,3280325,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,709,1228,1730,709,1228,0,0,0,2,0,0,0,0,0,0,若狭和田マリーナ,,,給油施設,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,182028,敦賀市,1,港湾施設事業,12,1,0,3,1,0,0,0,0,0,3070701,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,2836,8527,16442,15651,19203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,3588,53,24742,19239,19256,0,0,0,3,0,0,0,0,0,0,,Ｇ上屋、敦賀港コンテナ上屋,,野積場,,,,,,,,,,,,,,,,,,,,,,,,,,
